scene_id,role,path,device_or_medium,render_mode,text_render_mode,source_or_origin,sha256,width,height,status
SCENE-005,renderer_native,work/rendered_scenes_v1/scene_005.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-002; SHOT-02; Human実機画面,C9F144B2CA817A0EE7DD2B9D8ECDC667F53CA043A71B3D02271E13D92EF98C88,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-006,renderer_native,work/rendered_scenes_v1/scene_006.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-003; SHOT-03; Human実機画面,34DA9F4B82EA9B4FED3389F60763DC0DAEF389CCE319AE3EFCC8E80CD35C82CC,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-007,renderer_native,work/rendered_scenes_v1/scene_007.png,none,template,pil_overlay,SRC-001; SRC-003; config/visual_theme.json:adult_digital_soft_background,9E2221C7D23BF6028D3978CBC9A061571D5397C58D5CE9A3D1680575816957AB,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-008,renderer_native,work/rendered_scenes_v1/scene_008.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,11A0D8CB70E6D780CE0B2C6A40367B481208267BB46372FAB3C7E9E76169FA88,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-009,renderer_native,work/rendered_scenes_v1/scene_009.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-005; SHOT-04A; Human実機画面,3AFE7276629C0F65D733B8D84C75EB77379F432898DFEE3E9BCBBC8E7DF0A038,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-010,renderer_native,work/rendered_scenes_v1/scene_010.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-005; SHOT-04B; Human実機画面,74AA30B6E22CB14A1AC92BC655743247944243F5074F2B331550E0E42A255A08,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-011,renderer_native,work/rendered_scenes_v1/scene_011.png,none,template,pil_overlay,SRC-001; SRC-005; config/visual_theme.json:adult_digital_soft_background,9FCBDDE886F852054D78CC7C3DF7C419B1BFE866B165EFD4EFBE9C7C5BB2EEED,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-012,renderer_native,work/rendered_scenes_v1/scene_012.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,359666268E7F6E7B32B006B7CE5F5813BD77FBEC8CF19F58F44A78EF2AEB12C7,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-013,renderer_native,work/rendered_scenes_v1/scene_013.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-001; SRC-003; SRC-004; SHOT-05; Human実機画面,06E7CABCD52294E478A1F46A31E7833C573B2F5181C23B957056D543201F76C4,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-014,renderer_native,work/rendered_scenes_v1/scene_014.png,none,template,pil_overlay,SRC-001; SRC-004; config/visual_theme.json:adult_digital_soft_background,F653A786C1D43BFD846189EA35222F5970A4FB55DE5B26E5C5044B8EF5B39250,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-015,renderer_native,work/rendered_scenes_v1/scene_015.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,B9BE13B25ABAE5F1FF8E89DFEA460EFA28DA59DFB15CB5375F5A34C7BCC41124,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
DRAFT-01,full_draft,output/draft_auto_v1.mp4,VOICEVOX:剣崎雌雄 + renderer,phase2,pil_overlay,SCENE-001..015; narration WAV; canonical CTA,D82026D4DE8ED145BABBC177103D6366F9E9A109A0862149EA2A2A9A22F2CBEF,1920,1080,FULL_DRAFT_GATE2_REVIEW
CTA-AUDIO,postroll_cta_audio,audio/voicevox_kenzaki/cta_channel_common.wav,VOICEVOX:剣崎雌雄,audio,no_text,config/channel_cta.json; copied from Episode016 canonical asset,1D21F765F5606310CA08BC0264EC6ED0136F68F5A7DA07318B5018F1735FDBC9,N/A,N/A,REUSED_CANONICAL
CTA-VISUAL,postroll_cta_visual,work/channel_cta.png,none,template,pil_overlay,config/channel_cta.json; copied from Episode016 canonical asset,657B7F0B7B184996EF328FF61A71B3298B4D28B1B64F95B5112038F41557DD27,1920,1080,REUSED_CANONICAL
AUDIO-V2-MAIN,narration_main,audio/voicevox_kenzaki_v2/narration_kenzaki_auto.wav,VOICEVOX:剣崎雌雄,audio,no_text,10 regenerated segments with standard dictionary 「バッテリー」 accent=4; 24 segments copied from v1,668B8ABFC6630E79BCA35D638949C9FFD85EBC577378BB887C205BF62CEA36FC,N/A,N/A,GENERATED_DRAFT_V2_GATE2_REVIEW
AUDIO-V2-SEG-002,narration_segment,audio/voicevox_kenzaki_v2/segments/002.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,CDADCFDDC7A4CE015A0B735C96DA26DE0C19247BAE45386E8610A044F8FF463F,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-005,narration_segment,audio/voicevox_kenzaki_v2/segments/005.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,5C3E7137845A33E061211CC070A75462B412818114964FB6D2994C1AEF6FBAF9,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-006,narration_segment,audio/voicevox_kenzaki_v2/segments/006.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,1499FC7E3A4AF21F37060257C8EB7AD5EEAC19A879673D00255384DCD4981950,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-007,narration_segment,audio/voicevox_kenzaki_v2/segments/007.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,D66B29E6000D40724978AE7FE4B0E8EFC29DABE57276181CCB0FC07B8E05CD58,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-022,narration_segment,audio/voicevox_kenzaki_v2/segments/022.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,CFB87F1CB93CF63F4D933097E6F2DFE1C6F578C34EB2A902921F07D4D45FBCB5,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-023,narration_segment,audio/voicevox_kenzaki_v2/segments/023.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,EED2FCF3ECC913F107E91719FACCF485784D0F103DE04751D05D15F41CAB75AB,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-025,narration_segment,audio/voicevox_kenzaki_v2/segments/025.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,7181F803D2E18FE11764018D4DF144883E621361F52E46F44390F803B08AD3A2,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-027,narration_segment,audio/voicevox_kenzaki_v2/segments/027.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,10148769563F244F5425993012EFFC5E9926D82A4952CA217299199A55B71E20,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-029,narration_segment,audio/voicevox_kenzaki_v2/segments/029.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,96422B3C8741897900BBEA22619C278FB0B458462B36AA46F2CD05A2AC17263B,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
AUDIO-V2-SEG-031,narration_segment,audio/voicevox_kenzaki_v2/segments/031.wav,VOICEVOX:剣崎雌雄,audio,no_text,Human指定「バッテリー」語末「リ」; standard pronunciation dictionary,D4A1A7BF9F19EF5E8F0E557479AADA365106347B961822ACDB3161F37D15F67D,N/A,N/A,REGENERATED_V2_STANDARD_DICTIONARY
SUBTITLE-V2-SRT,subtitles,work/audio_v2_build/captions_v2.srt,renderer,phase2,subtitle,内容・時間はv2音声から再計算。v1と同一内容・同一SHA,8DB64EE1FB8FA8523976BF50CB7BAC0478F1108E8E4D4989B9C1A2F8ACE560D6,N/A,N/A,MEASURED_DRAFT_V2
SUBTITLE-V2-ASS,subtitles,work/audio_v2_build/captions_v2.ass,renderer,phase2,subtitle,v2音声から再計算したASS。v1と同一内容・同一SHA,DF88CB01C3C248C433A60B5A3926BB889925D96B5EEFBFECFF0BDE5C72FD04E5,N/A,N/A,MEASURED_DRAFT_V2
TIMING-V2,audio_timing,work/audio_v2_build/audio_timing.json,renderer,phase2,no_text,v2音声segmentの実測timing,14B0B9763058BB19ECB0CF480B90428F92D9504B6C1D410091CA04991CC75C74,N/A,N/A,MEASURED_DRAFT_V2
SCENE-001-V2,renderer_native,work/rendered_scenes_v2/scene_001.png,none,template,pil_overlay,config/visual_theme.json; intro 朝100%→夕方かなり減った,53A27B85AFAEBD2BE2DD94141ADDFE13794420432EF311146F12B9ECEB153D86,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-002-V2,renderer_native,work/rendered_scenes_v2/scene_002.png,none,template,pil_overlay,config/visual_theme.json; 3項目一覧,280771C1C3CA3838FC9F7289B850A1107584353DA73B3CF3EE5319E3D3FCD1B5,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-003-V2,renderer_native,work/rendered_scenes_v2/scene_003.png,none,template,pil_overlay,config/visual_theme.json; section 1扉,57ADD0D8A5C176B680B95A0A15B87CE2006DA1A818D7922726A9A8B8CBB18E1C,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-004-V2,renderer_native,work/rendered_scenes_v2/scene_004.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-001; SHOT-01; Human実機画面を大きく表示,6C6CD2880783F7773F57305C8202A0740190F9DCE84543F24009368C49FB5EB9,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-005-V2,renderer_native,work/rendered_scenes_v2/scene_005.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-002; SHOT-02; Human実機画面を大きく表示,E94B5AD9B1E1C681E2A95ADD919527940B24DBA8498151F1551596487BE2E56E,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-006-V2,renderer_native,work/rendered_scenes_v2/scene_006.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-003; SHOT-03; Human実機画面を大きく表示,6BE668E76E6474F9380D5C8729922E9CFD6B92A7C697349A8E7823CB6F2791BE,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-007-V2,renderer_native,work/rendered_scenes_v2/scene_007.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-003; Human実機画面を再利用し、一律OFFを勧めない,82064BC7F124D58D5A1F7BED735415E1B969E704D96783EAB272BCBCFFBFE239,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-008-V2,renderer_native,work/rendered_scenes_v2/scene_008.png,none,template,pil_overlay,config/visual_theme.json; section 2扉,48E368513BA63E62397D725BCDB24698D46BD5381E59DE7E04B002846A7A937A,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-009-V2,renderer_native,work/rendered_scenes_v2/scene_009.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-005; SHOT-04A; Human実機画面を大きく表示,82AFAE2C16DDA8BFC5E6EC6262256F69243EFF589C558B13C8352E283BB06B66,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-010-V2,renderer_native,work/rendered_scenes_v2/scene_010.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-005; SHOT-04B; Human実機画面を大きく表示,A60B6FDFB1D3AE5751280C01CCD19E5FBBBF80210B2B5358C78A1D738B810A50,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-011-V2,renderer_native,work/rendered_scenes_v2/scene_011.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-005; Human実機画面を再利用し、確認だけを促す,C64C2029F0D11B5AE861C7E2E0A8928FFAC7C7AE447B4A866DD450335EEF8CE0,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-012-V2,renderer_native,work/rendered_scenes_v2/scene_012.png,none,template,pil_overlay,config/visual_theme.json; section 3扉,12A3AF88CDD382B8CA76C974B80A3B1EEBE38CCFABBDC4739400AEBE84625DC7,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-013-V2,renderer_native,work/rendered_scenes_v2/scene_013.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-001; SHOT-05; Human実機画面を大きく表示,BC1F2A2D17094E658F13B3B74E95E40D8AB117013DF39FFC8C3DF54DDA39B53E,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-014-V2,renderer_native,work/rendered_scenes_v2/scene_014.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-001; SHOT-05; Human実機画面を再利用,8349DB055494D822A7E4AA4D53C14255668CA8DD069DA207669BBE72103741CB,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
SCENE-015-V2,renderer_native,work/rendered_scenes_v2/scene_015.png,none,template,pil_overlay,config/visual_theme.json; summary, B9BE13B25ABAE5F1FF8E89DFEA460EFA28DA59DFB15CB5375F5A34C7BCC41124,1920,1080,RENDERED_DRAFT_V2_GATE2_REVIEW
DRAFT-02,full_draft,output/draft_auto_v2.mp4,VOICEVOX:剣崎雌雄 + renderer,phase2,pil_overlay,SCENE-001..015 v2; v2 narration WAV; canonical CTA reused,76BC6321AB21A2C520E92F7743FBDFE4707FF7820A1A488046899119AE5978D5,1920,1080,FULL_DRAFT_V2_GATE2_REVIEW
SCENE-CONTACT-V2,scene_contact_sheet,work/scene_contact_sheet_v2.png,renderer,phase2,pil_overlay,15 rendered scenes v2,1341F7FB9958B444B08B863F5A3821F33173700C0B5B3F9C31AD743841383ACF,1740,850,QA_CONTACT_SHEET_V2
DRAFT-CONTACT-V2,draft_contact_sheet,work/draft_contact_sheet_v2.png,renderer,phase2,pil_overlay,16 representative frames from draft_auto_v2, C951FC1B4A540F7069D496D827521CA7A7999735C1C924E1371E47AEBBD050E4,1990,1060,QA_CONTACT_SHEET_V2
